epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,138.638,1.56191,0.86145,1.1376,0.66448,0.70748,0.69645,0.33263,1.76629,0.88417,1.25822,0.000660045,0.000660045,0.000660045
43,141.516,1.56509,0.87647,1.12989,0.66418,0.68572,0.69521,0.32701,1.73543,0.88865,1.24967,0.000649046,0.000649046,0.000649046
44,144.643,1.537,0.85288,1.14139,0.68422,0.66233,0.69064,0.33389,1.75809,0.89983,1.27022,0.000638047,0.000638047,0.000638047
45,147.681,1.55178,0.84775,1.12921,0.66397,0.67411,0.69924,0.33566,1.71578,0.90035,1.24609,0.000627048,0.000627048,0.000627048
46,150.708,1.55997,0.86219,1.1273,0.67034,0.65587,0.69045,0.33076,1.73171,0.88281,1.25024,0.000616049,0.000616049,0.000616049
47,153.71,1.54688,0.85439,1.12736,0.65694,0.67186,0.68991,0.33231,1.74143,0.90533,1.25705,0.000605051,0.000605051,0.000605051
48,156.685,1.51982,0.82962,1.12618,0.68606,0.68487,0.71062,0.34709,1.73363,0.89279,1.25569,0.000594052,0.000594052,0.000594052
49,159.711,1.53073,0.83948,1.13803,0.66783,0.67099,0.69999,0.34274,1.75591,0.88597,1.26447,0.000583053,0.000583053,0.000583053
50,162.764,1.52745,0.83417,1.12358,0.68763,0.67222,0.70402,0.33812,1.75538,0.89177,1.26691,0.000572054,0.000572054,0.000572054
51,165.865,1.51737,0.83993,1.12244,0.67466,0.6836,0.70622,0.34569,1.74174,0.87512,1.25383,0.000561055,0.000561055,0.000561055
52,168.877,1.48866,0.81273,1.1196,0.66678,0.68687,0.7007,0.34218,1.74865,0.85514,1.26099,0.000550056,0.000550056,0.000550056
53,171.818,1.51864,0.83145,1.13099,0.68638,0.64827,0.69721,0.33473,1.76622,0.87028,1.25987,0.000539057,0.000539057,0.000539057
54,174.806,1.48248,0.80021,1.10362,0.66743,0.71857,0.70933,0.34675,1.7074,0.8208,1.22793,0.000528058,0.000528058,0.000528058
55,177.793,1.49741,0.80633,1.112,0.68466,0.66722,0.69635,0.34443,1.70453,0.84948,1.22459,0.000517059,0.000517059,0.000517059
56,180.971,1.48276,0.80062,1.11018,0.66509,0.69641,0.69676,0.34277,1.71237,0.83094,1.23414,0.00050606,0.00050606,0.00050606
57,184.037,1.51757,0.80946,1.11218,0.66458,0.67418,0.68685,0.33236,1.74067,0.85103,1.2586,0.000495062,0.000495062,0.000495062
