epoch,train/cls_loss,metrics/precision(B),metrics/recall(B),time
1,1.122643030401486,0.3615364650087394,0.3313253012048193,54.28750443458557
2,0.7716420635358611,0.3566221030936394,0.3545611015490533,135.66851139068604
3,0.6877178832221387,0.349996894814881,0.3304647160068847,244.20050954818726
4,0.6206041042929265,0.3429778886156827,0.3244406196213425,379.73373770713806
5,0.5767366350141924,0.3219915558494907,0.2874354561101549,542.2274348735809
6,0.5279873720745543,0.3371783803169397,0.3158347676419966,731.7474746704102
7,0.4843613885676683,0.3132465006811532,0.2951807228915662,948.2617309093475
8,0.4541883606519272,0.3435690293902754,0.32960413080895,1191.7968997955322
9,0.4319122093382166,0.3094628059330367,0.2960413080895008,1462.2851593494415
10,0.3981073080603756,0.3188064646346481,0.3115318416523235,1759.8268706798553
11,0.3814585165523771,0.3575098708152606,0.346815834767642,2084.4299404621124
12,0.3449638270175279,0.3308567886663684,0.3218588640275387,2436.094336271286
13,0.3223572580227211,0.2950695719151038,0.2848537005163511,2814.816600084305
14,0.3202270474006881,0.353028191604061,0.3442340791738382,3220.507968902588
15,0.3067215507599845,0.3376666612302761,0.3192771084337349,3653.1908395290375
16,0.2960083889427469,0.3293744742543448,0.3141135972461273,4112.881539344788
17,0.265385197948164,0.3322815895268792,0.3201376936316695,4599.66446852684
18,0.2621574693206531,0.3127773765216814,0.302065404475043,5113.418476343155
19,0.2520574223972968,0.3347096861584152,0.3227194492254733,5654.2605357170105
20,0.2485936331882405,0.3204916302557604,0.310671256454389,6222.181385755539
21,0.2252947039791007,0.3298944440787563,0.3192771084337349,6817.11870265007
22,0.2150132973025094,0.3032512600196347,0.293459552495697,7439.083561182022
23,0.2093336299728991,0.3220698973232686,0.3098106712564544,8088.096494674683
24,0.2062420384096565,0.3304357555616751,0.3218588640275387,8764.137963056564
25,0.195998732111792,0.3322418040060022,0.3227194492254733,9467.164100170135
26,0.1890717650860992,0.3367145167740563,0.3321858864027538,10197.262652397156
27,0.1795501440429865,0.347115022394345,0.3390705679862306,10954.346695661545
28,0.183895444414064,0.3270809573587427,0.3235800344234079,11738.421543598175
