epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,257.701,1.49906,0.7846,1.12597,0.67282,0.687,0.68728,0.33124,1.69969,0.84785,1.24386,0.000660045,0.000660045,0.000660045
43,263.614,1.51254,0.79201,1.12672,0.67426,0.65887,0.69177,0.35047,1.69663,0.82836,1.23913,0.000649046,0.000649046,0.000649046
44,269.583,1.49326,0.78428,1.13478,0.68942,0.62754,0.67127,0.33256,1.70199,0.84834,1.23896,0.000638047,0.000638047,0.000638047
45,275.47,1.48993,0.76387,1.11267,0.68353,0.64624,0.68759,0.34336,1.68555,0.85073,1.23602,0.000627048,0.000627048,0.000627048
46,281.379,1.50499,0.77768,1.11745,0.65536,0.68565,0.68975,0.33843,1.69063,0.84162,1.2381,0.000616049,0.000616049,0.000616049
47,287.35,1.48448,0.76681,1.1164,0.63888,0.66975,0.67137,0.33146,1.70048,0.83101,1.23372,0.000605051,0.000605051,0.000605051
48,293.222,1.47636,0.75334,1.11832,0.6253,0.70231,0.6854,0.34816,1.66952,0.82862,1.2213,0.000594052,0.000594052,0.000594052
49,299.162,1.492,0.76278,1.13088,0.65088,0.66322,0.68071,0.34122,1.68084,0.83883,1.23609,0.000583053,0.000583053,0.000583053
50,305.08,1.44932,0.7499,1.10647,0.68852,0.65827,0.68258,0.33805,1.67319,0.82768,1.22815,0.000572054,0.000572054,0.000572054
51,311.023,1.48388,0.7519,1.11797,0.68885,0.64536,0.68998,0.34613,1.70457,0.82978,1.24153,0.000561055,0.000561055,0.000561055
52,316.992,1.46382,0.73428,1.1175,0.66675,0.67334,0.69012,0.33863,1.71119,0.82447,1.25479,0.000550056,0.000550056,0.000550056
53,322.855,1.457,0.74704,1.12094,0.65414,0.63804,0.67383,0.33692,1.71517,0.84353,1.24299,0.000539057,0.000539057,0.000539057
