epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,460.857,1.44278,0.68425,1.13565,0.6689,0.6674,0.68238,0.33465,1.75972,0.80564,1.35911,0.000660045,0.000660045,0.000660045
43,471.543,1.442,0.6937,1.12807,0.66714,0.68173,0.6851,0.34302,1.71507,0.78651,1.34554,0.000649046,0.000649046,0.000649046
44,482.217,1.41223,0.69177,1.13478,0.68592,0.65879,0.68131,0.33966,1.73615,0.80923,1.36065,0.000638047,0.000638047,0.000638047
45,493.031,1.41553,0.66985,1.11482,0.6614,0.67217,0.69215,0.34294,1.71319,0.79512,1.34019,0.000627048,0.000627048,0.000627048
46,503.993,1.42235,0.67802,1.11667,0.66899,0.67316,0.68832,0.34394,1.70647,0.76872,1.34618,0.000616049,0.000616049,0.000616049
47,514.723,1.40434,0.67431,1.1207,0.70127,0.64859,0.6973,0.35565,1.70925,0.76704,1.34648,0.000605051,0.000605051,0.000605051
48,525.794,1.40467,0.66625,1.12697,0.67625,0.6646,0.6929,0.34669,1.73936,0.77901,1.35883,0.000594052,0.000594052,0.000594052
49,536.492,1.42466,0.67233,1.13658,0.67736,0.66198,0.68602,0.34433,1.74141,0.77771,1.35922,0.000583053,0.000583053,0.000583053
50,547.163,1.38083,0.66083,1.11233,0.64699,0.68247,0.68522,0.34561,1.75212,0.78772,1.3545,0.000572054,0.000572054,0.000572054
51,557.824,1.40434,0.66398,1.11559,0.68325,0.68727,0.69206,0.34317,1.77978,0.76738,1.38664,0.000561055,0.000561055,0.000561055
52,568.485,1.36699,0.64195,1.11625,0.68441,0.68096,0.68484,0.3376,1.78039,0.77853,1.39237,0.000550056,0.000550056,0.000550056
53,579.143,1.39061,0.65277,1.12824,0.6809,0.66707,0.69233,0.34507,1.75632,0.77967,1.37487,0.000539057,0.000539057,0.000539057
54,589.759,1.34966,0.62463,1.09695,0.7056,0.6661,0.69749,0.34588,1.74426,0.7645,1.37811,0.000528058,0.000528058,0.000528058
55,600.378,1.3575,0.63484,1.10588,0.68838,0.6508,0.68911,0.34548,1.73337,0.78575,1.3527,0.000517059,0.000517059,0.000517059
56,611.027,1.35424,0.63233,1.10805,0.68171,0.68744,0.68425,0.34182,1.73886,0.75765,1.35554,0.00050606,0.00050606,0.00050606
